故事新编,鲁迅,人民文学出版社,
海子的诗,海子,人民文学出版社,9787020026456
鼠疫,[法]阿尔贝·加缪,上海译文出版社,9787532761753
看不见的城市,[意]伊塔洛·卡尔维诺,译林出版社,9787544700603
时间简史,[英]史蒂芬·霍金,湖南科学技术出版社,9787535732309
一个陌生女人的来信,[奥]斯蒂芬·茨威格,上海译文出版社,9787532741571
呼兰河传,萧红,百花文艺出版社,9787530640470
斯通纳,[美]约翰·威廉斯,上海人民出版社,9787208130500
解忧杂货店,[日本]东野圭吾,南海出版公司,9787544270878
最好的告别,[美国]阿图·葛文德,浙江人民出版社,9787213067792
人生的枷锁,[英国]威廉·萨默塞特·毛姆,上海译文出版社,9787532741731
一个叫欧维的男人决定去死,[瑞典]弗雷德里克·巴克曼,四川文艺出版社,9787541142185
陆犯焉识,[美国]严歌苓,作家出版社,9787506360876
献给阿尔吉侬的花束,[美]丹尼尔·凯斯,广西师范大学出版社,9787549565115
送你一颗子弹,刘瑜,上海三联书店,9787542631664
目送,龙应台,生活·读书·新知三联书店,9787108032911
史蒂夫·乔布斯传,[美国]沃尔特·艾萨克森,中信出版社,9787508630069
你当像鸟飞往你的山,[美]塔拉·韦斯特弗,南海出版公司,9787544276986
孩子你慢慢来,龙应台,生活·读书·新知三联书店,9787108033635
王尔德童话,[爱尔兰]奥斯卡·王尔德,译林出版社,9787805676104
情书,[日]岩井俊二,天津人民出版社,9787201048161
亲爱的安德烈,龙应台,人民文学出版社,9787020068616
离开的，留下的,[意]埃莱娜·费兰特,人民文学出版社,9787020132003
冬牧场,李娟,新星出版社,9787513305662
倾城之恋,张爱玲,北京十月文艺出版社,9787530208656
叫魂,[美国]孔飞力,生活·读书·新知三联书店上海三联书店,9787108037909
十万个为什么,,少年儿童出版社,
不能承受的生命之轻,[捷克]米兰·昆德拉,上海译文出版社,9787532731077
海的女儿,[丹麦]汉斯·克里斯蒂安·安徒生,上海译文出版社,
九州·缥缈录,江南,新世界出版社,9787801876942
万水千山走遍,三毛,哈尔滨出版社,9787806399057
美的历程,李泽厚,生活·读书·新知三联书店,9787108030375
苏菲的世界,[挪威]乔斯坦·贾德,作家出版社,9787506341271
金色梦乡,[日]伊坂幸太郎,译林出版社,9787544713986
孽子,白先勇,广西师范大学出版社,9787563397655
人生的智慧,(德)叔本华,上海人民,9787208081178
球状闪电,刘慈欣,四川科学技术出版社,9787536455382
浮生六记,（清）沈复,人民文学出版社,9787020028313
爱的艺术,[美国]艾·弗洛姆,上海译文出版社,9787532745159
经济学原理（上下）,[美国]格里高里·曼昆,机械工业出版社,9787111126768
國史大綱（上下）,钱穆,商務印書館,9787100017664
野火集,龙应台,文汇出版社,9787806767245
麦琪的礼物,[美]欧·亨利,上海社会科学院出版社,9787806812297
民主的细节,刘瑜,上海三联书店,9787542629586
银河系漫游指南,[英]道格拉斯·亚当斯,四川科学技术出版社,9787536457577
半生缘,张爱玲,北京十月文艺出版社,9787530208694
古文观止,吴楚材,中华书局,9787101000290
我也有一个梦想,林达,生活·读书·新知三联书店,9787108012715
亮剑,都梁,解放军文艺出版社,9787503311864
四世同堂,老舍,北京十月文艺出版社,9787530209226
你好，旧时光（上 下）,八月长安,新世界出版社,9787510407109
面纱,[英国]威廉·萨默塞特·毛姆,重庆,9787229050238
激荡三十年,吴晓波,中信出版社,9787508612102
牧羊少年奇幻之旅,[巴西]保罗·柯艾略,南海出版公司,9787544244190
全球通史(上),(美)斯塔夫里阿诺斯,北京大学出版社,9787301109489
荆棘鸟,[澳大利亚]考琳·麦卡洛,译林出版社,9787805678313
小径分岔的花园,[阿根廷]豪·路·博尔赫斯,上海译文出版社,9787532762897
尼罗河上的惨案,[英]阿加莎·克里斯蒂,人民文学出版社,9787020056088
简爱（英文全本）,[英]夏洛蒂·勃朗特,世界图书出版公司,9787506261579
我的天才女友,[意大利]埃莱娜·费兰特,人民文学出版社,9787020120130
枪炮、病菌与钢铁,[美国]贾雷德·戴蒙德,上海世纪出版集团,9787532739233
我的阿勒泰,李娟,云南人民出版社,9787222065413
绿毛水怪,王小波,时代文艺出版社,9787538725230
棋王,阿城,作家出版社,9787506315975
故事,[美]罗伯特·麦基,天津人民出版社,9787201088334
倚天屠龙记(共四册),金庸,三联书店,9787108012692
昨日的世界,[奥]斯蒂芬·茨威格,广西师范大学出版社,9787563345809
社会心理学,[美国]戴维·迈尔斯,人民邮电出版社,9787115138804
温柔的夜,三毛,北京十月文艺出版社,9787530208915
水浒传（全二册）,罗贯中,人民文学出版社,9787020008742
德米安,[德]赫尔曼·黑塞,上海人民出版社,9787208081550
罗生门,[日]芥川龙之介,上海译文出版社,9787532744756
雨季不再来,三毛,北京十月文艺出版社,9787530208960
霸王别姬,李碧华,人民文学出版社,9787020028504
罪与罚,[俄]费奥多尔·陀思妥耶夫斯基,上海译文出版社,9787532740079
总统是靠不住的,林达,生活·读书·新知三联书店,9787108011367
正见,[不丹]宗萨蒋扬钦哲仁波切,中国友谊出版公司,9787505722453
一句顶一万句,刘震云,长江文艺出版社,9787535439765
恶意,[日本]东野圭吾,南海出版公司,9787544244428
一千零一夜,,人民文学出版社,9787020040346
渴望生活,[美国]欧文·斯通,北京十月文艺出版社,9787530209127
顾城的诗,顾城,人民文学出版社,9787020025862
万物有灵且美,[英]吉米·哈利,中国城市出版社,9787507421774
茶馆,老舍,人民文学出版社,9787020036509
青铜时代,王小波,花城出版社,9787536025103
最好的我们,八月长安,湖南文艺出版社,9787540462642
设计中的设计,[日本]原研哉,山东人民出版社,9787209041065
理想国,柏拉图,商务印书馆,9787100017565
